No,Kategori,Nama_Tempat,Alamat,Latitude,Longitude,No_Telp,Harga,Jumlah_Kamar,Jumlah_bed,Fasilitas,Keunggulan,Instagram,Website,Traveloka,Tiket,Booking,Agoda,Trip,OYO,Reddoorz,Traveloka_link,Tiket_link,Booking_link,Agoda_link,Trip_link,OYO_link,Reddoorz_link,Bintang
1,Hotel, KUSUMA AGRO WISATA HOTEL,"Jl. Abdul Gani Atas, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65311",-7.882860098,112.5147166,"(0341) 593333, 08001593333",338.754 - 1.365.936,153,355,"Olahraga, Kolam Renang, Gym, Spa, Petik Buah, Waterpark, De Tjangkul, AC, Wi-Fi, TV Satelit, Shower, Sandal, Pembuat Teh/Kopi","- Agrowisata & Hotel Terpadu – Bisa menginap sambil petik buah (apel, stroberi, dll).
- Lokasi Sejuk – Udara dingin pegunungan & view indah.
- Aktivitas Seru – Outbound, ATV, flying fox, waterpark.
- Fasilitas Lengkap – Kolam renang, spa, restoran, playground.
- Cocok untuk Keluarga & Edukasi – Ramah anak & kegiatan edukatif.",https://www.instagram.com/kusumahotels/,https://kusuma-hotel.com/,0,1,1,1,0,0,0,,https://www.tiket.com/hotel/indonesia/kusuma-agrowisata-resort-convention-hotel,https://www.booking.com/searchresults.id.html?aid=1893449&label=metagha-link-LUID-hotel-353188_dev-desktop_los-1_bw-0_dow-Monday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-21404703723_mcid-33_ppa-0_clrid-0_ad-1_gstkid-0_checkin-20250714_ppt-Tag_lp-2360_r-208780121789057901&utm_medium=localuniversal&hca=m&no_rooms=1&show_room=35318801_0_2_1_0&utm_content=dev-desktop_los-1_bw-0_dow-Monday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-21404703723_mcid-33_ppa-0_clrid-0_ad-1_gstkid-0_checkin-20250714_ppt-Tag&utm_campaign=ID&edgtid=5IF6lFMTSeWC8LzgZQKEsw&utm_term=hotel-353188&gclid=Cj0KCQjwss3DBhC3ARIsALdgYxNCHNtozGrUvBdT-3zZolx_sB_oL9pN0Rq7ZRei__JC17XkY5PpDzEaAiEIEALw_wcB&ext_price_total=495827.00&efpc=MLWaSVgnsAov&utm_source=metagha&ts=1752459754&highlighted_hotels=353188&checkin=2025-07-14&redirected=1&dest_type=hotel&hlrd=with_dates&group_adults=2&dest_id=353188&source=hotel&group_children=0&checkout=2025-07-15&keep_landing=1&sid=05cf51e8622b7515cf923dd91f47e627,https://www.agoda.com/search?searchdatetype=default&lt=0&numberofchildren=0&gsite=localuniversal&partnercurrency=IDR&masterroomid=3443681&pricetax=71967.00&pricetotal=414668.00&usercountry=ID&currency=IDR&userdevice=desktop&verif=false&mcid=28118&booking_source=cpc&adtype=0&mpt=NmMyYmRsZDNoSXpzTVlkTGVXK1JnQW8xM0tnSWtMMHlQSGpyekhIdko0T2pBZkpCZnRaUlhnPT0&original_rr=ID_pull&los=1&adults=2&rooms=1&checkin=2025-07-14&checkout=2025-07-15&selectedproperty=71934&city=5414&cid=1917614&pslc=1&ds=yBDJKRCKXlViTwGR,,,,4
2,Hotel,"AMARTAHILLS HOTEL AND RESORT 
","Jl. Abdul Gani Atas, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65311",-7.888799563,112.5141399,(0341) 525777 ,584.027- 4.602.695,162,246,"AC, Restoran, Kolam Renang, Resepsionis 24 jam, Parkir, Lift, Wi-Fi","- Kamar simpel dengan karya seni penuh warna menawarkan Wi-Fi, TV layar datar, serta fasilitas pembuat teh dan kopi, plus balkon atau teras dengan panorama gunung. 
- Suite dilengkapi area duduk dan minibar, serta beberapa menyediakan kamar tidur loteng, bak mandi whirlpool, dan/atau bak mandi air panas di area terbuka. Room service tersedia 24/7.
- Terdapat restoran kasual, dan bar rooftop yang elegan dengan teras dan panorama gunung.
- Fasilitas lainnya meliputi infinity pool dan bistro/bar di tepi kolam renang, serta bak mandi air panas, gym, dan area bermain. Tersedia sarapan dan tempat parkir.",https://www.instagram.com/amartahills_hotel/,https://www.amartahillshotel.com/explore,1,1,1,0,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/amartahills-hotel-and-resort-batu-3000010007810,https://www.tiket.com/hotel/indonesia/amartahills-hotel-and-resort-batu-108001534490368655,https://www.booking.com/hotel/id/horison-ultima-batu.id.html?aid=356980&label=gog235jc-10CAsoaEITaG9yaXNvbi11bHRpbWEtYmF0dUgSWANoaIgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCrcLlxAbAAgHSAiQ5ODkyMzQ1Yy02Y2JlLTQ1MTctYTQ0OS1mNTkyNWRjYjM2NTTYAgHgAgE&sid=5efc070815cedccc354adf76c7b90825&all_sr_blocks=165571808_0_2_0_0&checkin=2025-08-27&checkout=2025-08-28&dest_id=-2672159&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=165571808_0_2_0_0&hpos=1&matching_block_id=165571808_0_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=165571808_0_2_0_0__65268929&srepoch=1754882373&srpvid=252c17574eb50396&type=total&ucfs=1&activeTab=photosGallery,,,,,4
3,Hotel,ZAM-ZAM HOTEL,"Jl. Abdul Gani Atas, RT.04/RW.10, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65311",-7.882542023,112.517915,(0341) 591148,386.534 - 600.040,85,115,"AC, Restoran, Kolam Renang luar, Resepsionis 24 jam, Parkir, Jemputan bandara, Wi-Fi, Layanan Kamar, Pusat bisnis, Spa, Layanan binatu","- Berlokasi strategis di Batu dengan jarak 4 menit berjalan kaki ke Kusuma Agro Wisata dan 1 km ke Museum Angkut.
- ZamZam Hotel and Convention menawarkan penginapan yang menyuguhkan pemandangan gunung dan pepohonan hijau.
- Kamar ber-ACnya yang berwarna cerah juga dilengkapi dengan LED TV bersaluran internasional, air mineral gratis, dan fasilitas pembuat kopi/teh.
- Layanan kebersihan harian juga disediakan untuk menjamin kenyamanan menginapmu.
- Layanan kebersihan harian juga disediakan untuk menjamin kenyamanan menginapmu.
- Menyediakan penitipan bagasi, laundry, cuci kering, dan memberikan saran tentang tempat wisata di sekitar hotel. ZamZam Hotel and Convention juga menyediakan toko oleh-oleh, fasilitas karaoke, dan ruang rapat.
- Dari Bandara Abdul Rachman Saleh, ZamZam Hotel and Convention dapat dicapai dengan 1 jam berkendara dan 30 menit berkendara dari Stasiun Kereta Malang Kota Baru. 
- Jatim Park I dan II berlokasi sejauh 1,4 km dari hotel, sedangkan Batu Night Spectacular berjarak 4 km.",https://www.instagram.com/zamzamhotel_batu/?hl=id,https://zamzam.com-hotel.id/id/,1,1,0,0,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/zamzam-hotel--resort-3000010001355?clickref=1100lAzQRr6I&utm_id=6wVpZzyA&campaign_id=1100l6465&partner_id=1101l345763&gad_source=1,https://www.tiket.com/hotel/indonesia/zamzam-hotel-and-convention-108001534490314656,,,,,,4
4,Hotel,"ASTON INN BATU
","Jl. Abdul Gani Atas No.42-44, Ngaglik, Kec. Batu, Kota Batu, Jawa Timur 65311",-7.882252243,112.5201178, 0812-3453-8908,797.150 - 1.668.232,99,196,"Spa, Wi-Fi, Sarapan, Kolam Renang luar, AC, Parkir gratis, Kulkas, Tea Coffee Maker","- Lokasi Strategis – Dekat Jatim Park, Museum Angkut, dll.
- Pemandangan Indah – Dikelilingi pegunungan & udara sejuk.
- Fasilitas Lengkap – Rooftop pool, gym, spa, meeting room.
- Desain Nyaman & Modern – Cocok untuk keluarga atau pasangan.
- Restoran & Sky Lounge – Menu variatif dengan view cantik.
- Pelayanan Ramah – Staf profesional & helpful.
- Ramah Keluarga – Kamar family & kids area tersedia.
- Kebersihan Terjaga – Protokol kesehatan diterapkan.
- Harga Terjangkau – Kualitas bintang dengan harga bersaing.
- Review Positif – Banyak tamu puas di berbagai platform.",https://www.instagram.com/astoninn_batu/?hl=id,"https://bookings.astonhotelsinternational.com/ibe/hotelbooking/search?hid=4753&lang=id&cur=IDR&utm_source=google&bookingSource=GoogleCPC&utm_medium=organic&utm_campaign=GoogleHPA-Organic#/q&refcode=googlehpa-organic&mscode=googlehpa&def_guests=A,A&guests=A,A&in=2025-07-25&out=2025-07-26",1,1,1,1,0,0,0,https://www.traveloka.com/id-id/hotel/detail?spec=11-08-2025.12-08-2025.1.1.HOTEL.3000020011990.Aston%20Inn%20Batu.2&contexts=%7B%22accessCode%22%3A%2290975GHAD1305desktop%22%2C%22metasearchRequestId%22%3A%22808ab43e-127f-493e-ab6e-e6465d4b5bb4%22%2C%22inventoryRateKey%22%3A%22povEwB3ZzsU2C6pd%2B6MdU13LUNuufACdbU0usK5vg0df8OiTSpd5X6%2FPDBpdF9pZfwxXnYiRzoxM4HX9sDmt9%2FAm1AYn3MeGz8Xcpq5hCtgkoYhCABuc4UBUJdDpIzcBkjYFe7E9Hsd3uMKwzSkUl5pNkVNrbZlWauR9OJSMSOjRfnRAbODkW%2BZ5ObHLaYtv22OY0XsXHRvmgrTryiN7ro%2BbdPKyeEcnUCrwiPsukDU4xJaQCNZd7Dm9H%2BzKz3SoHlBcSNHFk%2B6M%2Bed81rVbweEHGIhg0KJ7gZAJpw17ItAcEtGPm1fxqcNnBgMR8yyW4ixMvBpEpkcdrsVYy4I0arlS81%2FL314%2BEun2%2FX6YDWiNLAI570pDjkIGC%2BnLzxKIcobv2sM7J0Fdi71F%2BMaPuJZ%2F4BcR1dMJZnHguitAKG7O7uhfTD1GtRcr7E7TNppvmEAQvSMnVoIA9pZMtQ8Ze0TmUfsKSaG4pRlRUA016Gma6RjhZ%2B%2F6QV25zuEEdvqmefho0o7KgbsmK2jlIeR2OjRtcdHHo%2FAWwEPDHg90N1R9O21BdVMumhKJ1LZWTYhAqtovf7l7Wh6O7acT8Ie56zkjUbMpMwoD8bDdfSrNvYejJhdEEziI4Xl3iRJYHk49zVKWfYDUVqNo%2FAall9xaE5jhEebAc2gi%2FSWpkjC5z7ZVSSDDJg0OwQYWnH%2FhCLlXxfH2bKUpSjEuA6nReUpwng5lt77VApYSiZWlKrVeS927E49qP%2F8fATyH2xNcPCvYlfxQK1kTlJUI3DHN0EvwNDCmFYRHIaL9k1o31jsNJ8ZdRIxAkB%2FTzC2x4qzSPHp2d5pQ5%2BHw1J1TK6E5FeoT6T8AVvZ9qLJTDwbqb88hTw9Ywlx0XWa8wDnyygtf7Crmp%2Fc6G6mL9eWogIEjTUT%2BvxdmjA0pqNs%2Fp6%2F2UetIeMx%2B0ACFTWJVhwkR%2By0sft0uKhbuK%2FcARcRAAI8Iaf2%2Bxob1yRzYjm2NJjpjiazeBNeHmZE%2BY8a5VB4PpOEg1ubi%2FvIrJZGegy0KHbdaIUN%2BW5mIBzVRgYPTOKknM4TvW9bvinxaWgB9kX2IZ105cEKEj17rC25wS9JYvMh6yIHtcDv%2FzsbeFoDDzbB1xmjlVorQaqB7gtVEMeIiHyRc0xi5l9RXwcRQMVWWEAomPlZ9U19WGC7vBmsq91dShAz53TpByPQzrcqoeOzWhLpxAMjfeR4X%2F7F12yianjjqT33AdLU1J5BxheoMDEO51S4%2BuJvKr75gHBS%2FYIej%2BSL2SObpggQsxtrBgw3yr4vx6NgqZpToJoUzZMJT35ZOTGfd28Ye3YBtFAohNWzczMq8Rf9hUM0krauZpUlgTcKCBU3UDg%3D%3D%22%7D&loginPromo=1&prevSearchId=1840128285071137043&mToken=mHqtAOJNoS7yL0kTBPSyV%2BuzKL%2BR8uNBTe5KtJZbanXLQhu7Y4pWraP%2F6v%2F6GmS3bm0C7SPiR5rOwZloE3y1Pg%3D%3D&metasearchRateId=IDUsers  ,https://www.tiket.com/hotel/indonesia/aston-inn-batu-108001534490387189?hotelID=f7ce3c37-baa3-45cf-8db2-ea672dd33f4a&checkin=2025-07-25&checkout=2025-07-26&adult=2&country=ID&device=desktop&isAat=true&utm_source=google-hotel&utm_term=f7ce3c37-baa3-45cf-8db2-ea672dd33f4a&utm_medium=prf-ppc&utm_campaign=%5BMSA%5D-21444681979&utm_external=prf&gad_source=1&gad_campaignid=21444681979&gclid=Cj0KCQjwss3DBhC3ARIsALdgYxMjoqx_BKS6PxXepOmOUwF_W5IQXEaoc5-7AXdmYS4Ms-cw_Cp12DcaAk-zEALw_wcB,https://www.booking.com/searchresults.id.html?aid=1893449&label=metagha-link-LUID-hotel-3558079_dev-desktop_los-1_bw-11_dow-Friday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-21404703723_mcid-33_ppa-0_clrid-0_ad-1_gstkid-0_checkin-20250725_ppt-Tag_lp-2360_r-11611167772849850465&utm_medium=localuniversal&hca=m&no_rooms=1&show_room=355807901_0_2_0_0&utm_content=dev-desktop_los-1_bw-11_dow-Friday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-21404703723_mcid-33_ppa-0_clrid-0_ad-1_gstkid-0_checkin-20250725_ppt-Tag&utm_campaign=ID&edgtid=9cqWX2fjQz-uyDiE950uHQ&utm_term=hotel-3558079&gclid=Cj0KCQjwss3DBhC3ARIsALdgYxMZrS6MzbYGrJaO7SLuPX1B2Zhwp4v2xfSaM40Dm8Fgwj9Du2cnqbMaAu-NEALw_wcB&ext_price_total=1008673.25&efpc=YrI6EAhnOyOi&utm_source=metagha&ts=1752462596&highlighted_hotels=3558079&checkin=2025-07-25&redirected=1&city=-2672159&hlrd=with_dates&group_adults=2&source=hotel&group_children=0&checkout=2025-07-26&keep_landing=1&sid=d05732fa16b7e89c4fe250914ae7aa1b,https://www.agoda.com/id-id/search?campaignid=22524858143&searchdatetype=default&lt=11&numberofchildren=0&childages=&gsite=localuniversal&partnercurrency=IDR&roomid=&masterroomid=341536017&pricetax=153657.00&pricetotal=885356.00&rateplan=&usercountry=ID&currency=IDR&userdevice=desktop&verif=false&audience_list=&mcid=28888&booking_source=cpc&adtype=1&mpt=SkVjaUZ3ZXFCTDk1Q3NCNmhSdHpOSEhOYU03OElKTkhoOHM0RjJGeUpmLzBGeTJ0NXdjYXcvRT0&original_rr=ID_pull&gad_source=1&gad_campaignid=22524858143&gbraid=0AAAAAC_zgIwKfsa_37f45L7Mm4Mt-UhT4&gclid=Cj0KCQjwss3DBhC3ARIsALdgYxOVV8aEy_0V6WyXMQExIvUvw7GqG-YwTvRWHf-w9EFQqnJ7gRVwYc0aAkqMEALw_wcB&los=1&adults=2&rooms=1&checkin=2025-07-25&checkout=2025-07-26&selectedproperty=4991619&city=5414&cid=1917614&pslc=1&ds=sf1oVyv8fIBloEUG,,,,4
5,Hotel,CIPTANINGATI HOTEL,"Jl. Argopuro No.154, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314",-7.875582658,112.5338801, (0341) 3061474,277.114- 650.000,60,90,"Kolam Renang, AC, Fasilitas Rapat, Wi-Fi, Parkir, Restoran, Resepsionis 24 jam","- Lokasi Strategis – Dekat Jatim Park, Museum Angkut, dan pusat kuliner Batu.
- Harga Terjangkau – Mulai Rp 300 ribuan, termasuk sarapan.
- Fasilitas Lengkap – Kolam renang, restoran, Wi-Fi, meeting room.
- Desain Nyaman & Estetik – Nuansa modern dengan sentuhan budaya lokal.
- Ramah Keluarga & Event – Cocok untuk liburan keluarga atau gathering.",https://www.instagram.com/ciptaningaticulturehotel/,,1,1,0,1,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/ciptaningati-culture-hotel-3000010008587,https://www.tiket.com/hotel/indonesia/ciptaningati-culture-hotel-batu-802001739180780009?hotelID=1ecf399c-5d7f-4ab9-ad78-4db0249382b9&checkin=2025-07-14&checkout=2025-07-15&adult=2&country=ID&device=desktop&isAat=true&utm_source=google-hotel&utm_term=1ecf399c-5d7f-4ab9-ad78-4db0249382b9&utm_medium=prf-ppc&utm_campaign=%5BMSA%5D-21472895668&utm_external=prf&gad_source=1&gad_campaignid=21472895668&gclid=Cj0KCQjwss3DBhC3ARIsALdgYxNcdRf8IFQH85rvq1kxpmpCK_CeMjB5e_w22wUnEUsfzoFPx_NKT1EaAs_oEALw_wcB,,https://www.agoda.com/id-id/ciptaningati-hotel/hotel/malang-id.html?cid=1844104&ds=VcvrRXec6twd15XO,,,,3
6,Hotel,THE ONSEN HOT SPRING RESORT SONGGORITI ,"Jl. Arumdalu No.98, Songgokerto, Kec. Batu, Kota Batu, Jawa Timur 65312",-7.863190281,112.5003372,(0341) 5101888,1.526.166 - 2.494.221,24,24,"Wi-Fi gratis, Resepsionis 24 jam, Penyimpanan bagasi, Penatu swalayan, Kolam Renang, Fasilitas Rapat, water heater, Dapat berbahasa Inggris, Jepang, Indonesia, Restoran","- Onsen Alami – Pemandian air panas belerang khas Jepang.
- Nuansa Jepang Otentik – Ryokan, yukata, Torii, dan jembatan Shinkyo.
- Spot Instagramable – Banyak tempat foto ala Jepang.
- Kuliner Jepang Asli – Ramen, sushi, matcha di Restoran Fushimi.
- Cottage Nyaman – Private onsen & view pegunungan sejuk.",,https://theonsenresort.com/,1,1,1,1,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/the-onsen-hot-spring-resort-batu-3000020008952,https://www.tiket.com/hotel/indonesia/the-onsen-hot-spring-resort-412001639993389383?referrer=https%3A%2F%2Fwww.tiket.com%2Fhotel%2Findonesia%2Fel-royale-kartika-wijaya-batu-108001534490301262%3F&utm_page=productDetailPage,https://www.booking.com/searchresults.id.html?aid=356980&label=gog235jc-1DCAsoaEIbdGhlLW9uc2VuLWhvdC1zcHJpbmctcmVzb3J0SBJYA2hoiAEBmAESuAEXyAEM2AED6AEB-AECiAIBqAIDuAKJitLDBsACAdICJGIyNzM4NTU2LTI5YWYtNDM5ZC04M2I0LTk3YWI0YzgxMzlhZtgCBOACAQ&highlighted_hotels=3307126&checkin=2025-07-25&redirected=1&city=-2672159&hlrd=user_sh&source=hotel&checkout=2025-07-26&keep_landing=1&sid=d05732fa16b7e89c4fe250914ae7aa1b,https://www.agoda.com/id-id/the-onsen-hot-spring-resort/hotel/malang-id.html?cid=1844104,,,,4
7,Hotel,BATU SUKI RESORT,"Jl. Bukit Berbunga No.20 - 24, Sidomulyo, Kec. Batu, Kota Batu, Jawa Timur 65317",-7.859278067,112.5270932," (0341) 5025350, 62822-2984-3408",675.899 - 2.985.899,179,179,"Area Parkir, Kafe, Wi-Fi, Restoran, Area main anak, Taman, Kolam Renang luar, Bar, Layanan binatu, Fasilitas Rapat, AC, Tea Coffee Maker, TV, Shower","- Lokasi Strategis – Dekat pusat Batu dan destinasi seperti Selecta, Jatim Park, serta Coban Lanang 
- Kolam Renang & Cottage Nyaman – Kolam renang luas, sebagian kamar cottage dengan akses langsung
- Parkir Luas & Aman – Area parkir aman lengkap CCTV 
- Pelayanan & Kebersihan Baik – Banyak ulasan positif soal staf ramah, room bersih dan cepat check‑in/out",https://www.instagram.com/batusuki/,https://batusukihotel.com/,1,1,0,1,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/batu-suki-resort--hotel-3000010002314,https://www.tiket.com/hotel/indonesia/batusuki-resort-hotel-410001634036890593,,https://www.agoda.com/id-id/batusuki-resort-hotel/hotel/malang-id.html?cid=1844104&ds=cNVZTkk4t6rrBJzZ,,,,3
8,Hotel,PT. FILADELFIA GALLERY RESORT ,"Jl. Bukit Berbunga No.6, Sidomulyo, Kec. Batu, Kota Batu, Jawa Timur 65317",-7.862129808,112.5270661, 0822-7927-9471,165.000 - 498.000,41,122,"Wi-Fi, Restoran, Parkir, Fasilitas Rapat, Staf multibahasa, Tur, Layanan binatu, Penyimpanan bagasi, Brankas hotel, TV, Bathtub, Shower, Kulkas","- Lokasi Strategis – Dekat pusat kota Batu, Coban Lanang, Batu Secret Zoo, dan terminal transportasi
- Kamar Luas & Bersih – Banyak kamar dengan bathtub, air panas, dan balkon dengan pemandangan pegunungan
- Fasilitas Lengkap – Restoran & sarapan prasmanan variatif, tempat pertemuan bisnis, Wi‑Fi, parkir gratis .
- Pelayanan Ramah – Staf helpful dan multilingual, proses check‑in/out cepat ",https://www.instagram.com/hotelfiladelfia/,,1,1,0,1,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/hotel-filadelfia-gallery-resort--3000010006508,https://www.tiket.com/hotel/indonesia/hotel-filadelfia-gallery-resort-807001751613210253,,https://www.agoda.com/id-id/hotel-filadelfia-gallery-resort/hotel/malang-id.html?cid=1844104&ds=Ee8K5MeWLkKhI33h,,,,3
9,Hotel,GOLDEN TULIP HOLLAND RESORT BATU," Komplek, Jl. Bukit Panderman Hill Jl. Cherry No.10, Temas, Kec. Batu, Jawa Timur 65314",-7.891776321,112.5232369, (0341) 3302000,760.140 -.2.368.000,256,256,"Kolam Renang, AC, Restoran, Wi-Fi, Spa, Fasilitas Anak, Parkir, Resepsionis 24 jam, Fasilitas Rapat, Pusat kebugaran","- Hotel Bintang 5 – Salah satu resort termewah di Batu.
- Lokasi Premium – View langsung ke Gunung Panderman, dekat Jatim Park & Museum Angkut.
- Fasilitas Lengkap – Kolam renang infinity, kids playground, spa, gym, ballroom.
- Kamar Mewah & Modern – Balkon pribadi, bathtub, smart TV, pemandangan indah.
- Restoran & Kafe Mewah – Sky Lounge dengan city view, menu internasional & lokal.
- Pelayanan Profesional – Staf ramah, service cepat, cocok untuk keluarga & honeymoon.",,https://holland-resort-batu.goldentulip.com/id/,1,1,0,0,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/golden-tulip-holland-resort-batu-3000010038474,https://www.tiket.com/hotel/indonesia/golden-tulip-holland-resort-batu-108001534490384034,,,,,,5
10,Hotel, CRYSTALL INN HOTEL,"Jl. Diponegoro No.166, Sisir, Kec. Batu, Kota Batu, Jawa Timur 65314
",-7.877246976,112.5326127," (0341) 5103100 
",288.401 - 370.370,34,46,"Wi-Fi gratis, Kolam Renang luar, Sarapan, Restoran, Layanan Kamar, AC, Parkir gratis, Layanan binatu",,https://www.instagram.com/crystalinnbatu/,,1,1,0,0,0,0,0,https://www.traveloka.com/id-id/hotel/indonesia/crystal-inn-hotel-batu-3000010027313,https://www.tiket.com/hotel/indonesia/crystal-inn-batu-807001751613148612,,,,,,2
